variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1743,7,29,129,132,0.2248062015503876,0.9772727272727273,3,2,23
218,30,29,128,130,0.2265625,0.9846153846153847,3,6,12
450,17,29,128,135,0.2265625,0.9481481481481482,3,3,21
581,20,29,127,132,0.2283464566929134,0.9621212121212122,3,6,14
1788,0,29,125,129,0.232,0.9689922480620154,3,7,13
227,2,29,124,161,0.23387096774193547,0.7701863354037267,3,5,19
729,29,29,124,127,0.23387096774193547,0.9763779527559056,3,4,16
243,15,29,123,126,0.23577235772357724,0.9761904761904762,3,6,16
565,13,29,123,143,0.23577235772357724,0.8601398601398601,3,1,24
1413,13,29,115,132,0.25217391304347825,0.8712121212121212,3,1,22
952,18,29,114,119,0.2543859649122807,0.957983193277311,3,1,25
